K,2764
R,2752
D,2526
S,2215
M,1965
P,1881
B,1544
L,1225
F,1222
H,1153
T,1146
W,780
N,716
V,615
G,537
SH,379
CH,329
Y,268
TH,173
Z,83
DH,19
